court	docket_date	case_count	case_numbers
1-1	2025-02-06	1	251100021839
1-1	2025-02-05	1	251100021914
1-1	2025-02-20	1	251100021914
1-1	2025-02-06	1	251100021970
1-1	2025-02-05	1	251100021977
1-1	2025-02-06	1	251100022044
1-1	2025-02-05	3	251100021925, 251100021932, 251100021934
1-1	2025-02-12	1	251100021932
1-1	2025-02-05	1	251100022070
1-1	2025-02-10	1	251100022070
1-1	2025-02-05	3	251100022105, 251100022131, 251100022125
1-1	2025-02-06	1	251100022269
1-1	2025-02-10	1	251100022269
1-1	2025-02-05	1	251100022203
1-1	2025-02-12	1	251100022203
1-1	2025-02-06	1	251100022284
1-1	2025-02-25	1	251100022284
1-1	2025-02-05	2	251100022289, 251100022317
1-1	2025-02-06	1	251100022280
1-1	2025-02-26	1	251100022280
1-1	2025-02-05	2	251100022309, 251100022312
1-1	2025-02-06	1	251100022986
1-1	2025-02-05	4	251100023134, 251100022319, 251100022299, 251100023130
1-1	2025-02-06	2	251100023122, 251100023119
1-1	2025-02-05	2	251100023141, 251100023145
1-1	2025-02-06	1	251100023264
1-1	2025-02-05	1	251100023265
1-1	2025-02-12	1	251100023265
1-1	2025-02-05	1	251100023270
1-1	2025-04-30	1	251100023270
1-1	2025-02-06	1	251100023318
1-1	2025-02-05	1	251100023461
1-1	2025-02-12	1	251100023461
1-1	2025-02-17	1	251100023461
1-1	2025-02-06	4	251100023458, 251100023463, 251100023469, 251100023467
1-1	2025-02-13	1	251100023469
1-1	2025-02-06	4	251100023475, 251100023479, 251100023471, 251100023462
1-1	2025-02-05	1	251100023500
1-1	2025-02-19	1	251100023500
1-1	2025-02-05	1	251100023488
1-1	2025-02-19	1	251100023488
1-1	2025-02-05	2	251100023487, 251100023509
1-1	2025-02-06	1	251100023583
1-1	2025-02-05	2	251100023589, 251100023585
1-1	2025-02-19	1	251100023585
1-1	2025-02-25	1	251100023585
1-1	2025-02-05	3	251100023568, 251100023607, 251100023600
1-1	2025-02-12	1	251100023607
1-1	2025-02-05	2	251100023609, 251100023615
1-1	2025-02-12	1	251100023615
1-1	2025-02-05	3	251100023622, 251100023634, 251100023663
1-1	2025-02-04	1	251100023667
1-1	2025-02-05	1	251100023741
1-1	2025-02-04	2	251100023664, 251100023685
1-1	2025-02-11	1	251100023664
1-1	2025-02-04	1	251100023799
1-1	2025-02-05	1	251100023797
1-1	2025-02-11	1	251100023799
1-1	2025-02-05	2	251100023785, 251100023769
1-1	2025-02-19	1	251100023785
1-1	2025-02-04	1	251100023808
1-1	2025-02-05	1	251100023824
1-1	2025-02-11	1	251100023824
1-1	2025-02-06	1	251100023846
1-1	2025-02-05	3	251100023871, 251100023817, 251100023812
1-1	2025-02-12	1	251100023817
1-1	2025-02-05	2	251100023881, 251100023827
1-1	2025-02-17	1	251100023881
1-1	2025-03-17	1	251100023881
1-1	2025-02-06	1	251100023855
1-1	2025-02-19	1	251100023855
1-1	2025-02-06	1	251100023925
1-1	2025-02-20	1	251100023925
1-1	2025-02-06	2	251100023904, 251100023917
1-1	2025-02-10	2	251100028228, 251100028235
1-1	2025-02-17	1	251100028235
1-1	2025-02-10	1	251100028226
1-1	2025-02-19	1	251100028226
1-1	2025-02-10	10	251100028274, 251100028575, 251100028459, 251100028552, 251100028537, 251100028516, 251100028230, 251100028528, 251100028500, 251100028305
1-1	2025-02-17	1	251100028537
1-1	2025-03-17	1	251100028537
1-1	2025-02-10	2	251100028661, 251100028560
1-1	2025-02-18	1	251100028661
1-1	2025-02-10	3	251100028662, 251100028667, 251100028669
1-1	2025-02-25	1	251100028662
1-1	2025-02-10	1	251100028678
1-1	2025-02-20	1	251100028678
1-1	2025-02-10	2	251100028675, 251100028689
1-1	2025-02-19	1	251100028675
1-1	2025-02-10	11	251100028745, 251100028759, 251100028754, 251100028693, 251100028770, 251100028723, 251100028694, 251100028702, 251100028762, 251100028731, 251100028776
1-1	2025-02-11	1	251100028786
1-1	2025-02-18	1	251100028786
1-1	2025-02-10	1	251100028777
1-1	2025-02-11	1	251100028783
1-1	2025-02-18	1	251100028783
1-1	2025-02-11	1	251100028840
1-1	2025-02-19	1	251100028840
1-1	2025-02-11	2	251100028794, 251100028855
1-1	2025-02-10	1	251100028843
1-1	2025-02-11	2	251100028831, 251100028870
1-1	2025-02-10	3	251100029002, 251100028863, 251100028908
1-1	2025-02-17	1	251100028863
1-1	2025-02-10	1	251100029010
1-1	2025-02-11	1	251100029049
1-1	2025-02-10	1	251100029044
1-1	2025-02-17	1	251100029044
1-1	2025-02-10	3	251100029051, 251100029076, 251100029091
1-1	2025-02-13	1	251100029091
1-1	2025-02-10	1	251100029100
1-1	2025-02-11	3	251100030221, 251100030228, 251100030232
1-1	2025-02-10	1	251100030305
1-1	2025-02-17	1	251100030305
1-1	2025-02-11	4	251100030503, 251100030333, 251100030270, 251100030394
1-1	2025-02-10	1	251100030401
